nomen;revenu;agglo9;loc_log;stat_log;nb_voit;nb_tv;jardin;micro_onde;frigo;congelo;four;soins;situ_fin;situ_alim;manq_alim;viande;jard_potager;jard_verger;jard_pelouse;jard_poules;nbpers;sexe_chef;age_chefq;nbadu;nbenf;agglo5;ech;cspc;reg;pcschef;up;jard_rien;sitalim_regime;sitalim_temps;sitalim_argent;sitalim_depl;sitalim_rhf;sitalim_place;sitalim_autre;chef_diplo;chef_situprof;chef_statempl;chef_typempl;chef_atrav;chef_nbsal;tage_chef;pond_men;selcuileg;selcuivp;selcuivps;selcuioeuf;saliere;selcrud;typesel;chori;chprix;chlabel;chsani;chhabit;chmarq;chpres;chprod;chgout;chetiq;chnut;claim;inscuisson;insconserv;stokcons;micronde;consopc;dlcoeuf;dlcjamb;dlcsaum;dlcfrom;dlcpl;dlcyao;dlclaif;dlccrem;dlcvian;dlcpcsv;csvjamb;csvcharc;csvpc;csventrf;csvfromc;csvvian;nreprill;nreppate;nrepjamb;nrepsaum;nrepsauc;temp;thermo;tempfrig;alimcru;reste;puits;traiteau;traiteauch;traitcirc;traitusag;systion;systcharb;autsyst;fqtrait;entrprof;entrindi;chfacil;chnouv;chpub;nrchoix;traitnsp;nrtrait;systmemb;systmeca;systuv;systaut;systnsp;nrsyst;entrnsp
111985;11;8;2;3;1;3;2;1;1;1;1;2;2;1;4;1;;;;;5;1;34;2;3;4;1;11;1;6;423002;;;;;;;;;7;1;3;2;;;4;0.1152886;2;3;2;1;4;4;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;3;2;1;1;1;3;1;3;1;3;1;2;2;2;6;2;3;1;3;3;2;1;1;2;1;;2;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
111991;8;1;3;2;1;3;1;1;1;1;1;2;2;1;4;1;1;1;1;2;2;1;76;2;0;1;1;16;5;7;430013;2;;;;;;;;12;4;1;2;1;;7;1.458021;1;1;4;6;1;4;2;2;2;1;2;2;2;1;2;2;1;2;4;2;1;2;4;2;1;1;7;7;1;7;7;7;1;1;2;6;6;6;3;2;5;5;1;5;5;99;1;;2;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
111992;5;1;3;2;1;4;1;1;1;1;1;2;4;1;4;1;1;2;1;1;4;2;51;2;2;1;1;10;5;5;430013;2;;;;;;;;6;1;4;1;;;5;0.2025238;4;4;4;4;4;4;2;2;1;2;2;2;2;2;2;2;1;2;2;2;1;1;4;1;7;1;7;1;1;1;1;1;1;1;1;3;1;1;3;1;3;3;1;5;1;6;1;;2;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
111993;15;1;3;2;1;2;1;2;1;1;1;2;4;1;4;1;1;1;1;1;2;1;59;2;0;1;1;3;5;2;430013;2;;;;;;;;7;1;7;2;;0;5;0.4050476;4;3;3;4;4;4;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;4;2;7;7;1;1;7;1;1;7;7;7;2;2;6;1;3;2;5;5;5;1;5;16;1;;3;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
111994;9;1;3;2;2;2;1;1;1;1;1;2;2;1;4;1;2;2;1;2;4;1;36;2;2;1;1;11;5;6;430013;2;;;;;;;;5;1;3;2;;;4;0.7197691;1;1;1;1;4;4;1;2;1;2;2;2;2;1;2;1;2;2;2;2;5;2;3;2;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;99;9;;3;9;9;9;;;;;;;;;;2;2;2;;;;;;;;;;
111996;11;1;3;2;2;4;1;1;1;1;1;2;2;1;4;1;1;1;1;2;3;1;55;3;0;1;1;10;5;5;430013;2;;;;;;;;6;1;2;2;;;5;0.4050476;1;1;1;1;1;1;5;1;2;2;2;2;1;2;2;1;2;2;2;2;1;2;3;2;4;1;1;4;1;4;1;2;1;1;1;1;1;1;2;1;3;3;2;2;2;5;1;;2;1;3;1;2;1;2;1;2;;2;1;2;2;2;2;;2;;2;2;2;2;2;;2
111998;8;1;3;3;2;3;2;1;1;1;1;1;5;1;4;1;;;;;5;1;30;2;3;1;1;11;5;6;430013;;;;;;;;;7;1;3;2;;;4;0.2179613;3;3;3;3;3;4;1;2;1;2;2;2;2;2;2;2;2;2;4;4;1;1;4;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;5;3;3;5;5;16;1;;3;2;3;3;;;;;;;;;;1;2;1;;;;;;;;;;
112005;14;1;3;2;1;2;1;1;1;1;2;2;2;1;4;1;1;2;1;2;3;1;39;2;1;1;1;1;5;1;430057;2;;;;;;;;9;1;7;9;;0;4;0.2700318;1;3;2;1;4;4;1;2;2;2;1;2;2;2;2;1;2;1;2;2;1;1;4;2;1;2;7;3;7;3;7;1;1;7;6;6;6;3;3;1;5;2;3;5;5;7;1;;2;2;4;4;;;;;;;;;;2;2;2;;;;;;;;;;
112007;3;1;3;2;1;4;1;1;1;1;1;2;2;1;4;1;1;1;1;2;3;1;55;3;0;1;1;11;5;6;430057;2;;;;;;;;7;1;4;2;;;5;0.4050477;3;4;4;4;4;4;5;1;1;2;2;2;2;2;2;1;2;2;4;5;2;1;4;1;1;3;3;3;2;2;2;2;2;2;6;6;6;6;6;6;3;3;3;3;3;16;1;;1;2;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
112008;4;1;3;2;2;3;1;1;1;1;1;2;1;1;4;1;2;2;1;2;2;1;59;2;0;1;1;9;5;4;430057;2;;;;;;;;9;1;1;2;;;5;0.4050476;3;3;4;2;3;9;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;3;3;2;2;2;3;2;2;7;2;1;1;1;1;6;6;3;1;5;5;1;1;5;6;2;8;1;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
112012;3;1;3;2;2;3;1;1;1;1;1;2;2;1;4;1;1;1;1;2;2;1;48;2;0;1;1;11;5;6;430057;2;;;;;;;;6;1;4;2;;;4;0.4050477;4;4;4;4;1;5;1;2;1;2;2;2;1;2;2;2;2;2;1;4;4;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;2;2;16;2;98;3;1;3;3;;;;;;;;;;1;2;2;;;;;;;;;;
